"Category"	"Uniquely mapped"	"Mapped to multiple loci"	"Mapped to too many loci"	"Unmapped: too many mismatches"	"Unmapped: too short"	"Unmapped: other"
"20220302_Meso_Lgla_2_C_T2_Lscabra_CgoreauiDavies"	5024434	590893	10386	575042	17956765	4832
"20220302_Meso_Lgla_2_C_T3_Lscabra_CgoreauiDavies"	9699069	688590	17380	1262095	25227137	7381
"20220302_Meso_Lgla_2_H_T2_Lscabra_CgoreauiDavies"	4717750	984549	16032	713834	14558018	2100
"20220302_Meso_Lgla_2_L_T2_Lscabra_CgoreauiDavies"	7928094	882309	19064	1410140	32608957	8572
"20220302_Meso_Lgla_2_L_T3_Lscabra_CgoreauiDavies"	7164614	502410	8067	702959	12852887	6371
"20220302_Meso_Lgla_2_M_T2_Lscabra_CgoreauiDavies"	12122216	2133040	38704	1640447	25074234	4101
"20220302_Meso_Lgla_2_M_T3_Lscabra_CgoreauiDavies"	13076936	1396702	27578	1891925	30075558	9297
"20220302_Meso_Lgla_2_T0_Lscabra_CgoreauiDavies"	8503338	689638	13128	1198995	27771638	7637
"20220302_Meso_Lgla_2_TF_Lscabra_CgoreauiDavies"	10334352	702352	16832	1242410	28971688	8255
"20220302_Meso_Lgla_3_C_T2_Lscabra_CgoreauiDavies"	4987688	333849	4853	503723	18501463	4867
"20220302_Meso_Lgla_3_C_T3_Lscabra_CgoreauiDavies"	4579902	299174	6356	790654	15570790	6376
"20220302_Meso_Lgla_3_H_T2_Lscabra_CgoreauiDavies"	9065948	1809540	12861	1337520	24017369	7249
"20220302_Meso_Lgla_3_H_T3_Lscabra_CgoreauiDavies"	3670692	963192	8348	2214436	19192646	2605
"20220302_Meso_Lgla_3_L_T2_Lscabra_CgoreauiDavies"	4269700	394993	6059	757783	17599442	4607
"20220302_Meso_Lgla_3_L_T3_Lscabra_CgoreauiDavies"	6698091	430496	6534	834136	16487033	7338
"20220302_Meso_Lgla_3_M_T2_Lscabra_CgoreauiDavies"	4954380	721693	6946	636297	16243626	2256
"20220302_Meso_Lgla_3_M_T3_Lscabra_CgoreauiDavies"	5848112	588547	11246	961975	19154455	7972
"20220302_Meso_Lgla_3_T0_Lscabra_CgoreauiDavies"	4591300	417176	9162	792730	30715561	7306
"20220302_Meso_Lgla_3_TF_Lscabra_CgoreauiDavies"	6918019	417634	8802	708707	20288855	5670
"20220302_Meso_Lgla_5_C_T2_Lscabra_CgoreauiDavies"	4013777	248286	4003	443677	15828571	2054
"20220302_Meso_Lgla_5_C_T3_Lscabra_CgoreauiDavies"	6578873	423145	9071	951708	15822140	7138
"20220302_Meso_Lgla_5_H_T2_Lscabra_CgoreauiDavies"	7300433	1204761	6092	901920	17112601	2653
"20220302_Meso_Lgla_5_H_T3_Lscabra_CgoreauiDavies"	2903677	707029	1977	1655645	14947303	2022
"20220302_Meso_Lgla_5_L_T2_Lscabra_CgoreauiDavies"	3805848	286539	3924	542477	19904722	2455
"20220302_Meso_Lgla_5_L_T3_Lscabra_CgoreauiDavies"	6069710	408093	8408	909979	16736852	4827
"20220302_Meso_Lgla_5_M_T2_Lscabra_CgoreauiDavies"	10886024	2042784	19292	1404681	26837226	4119
"20220302_Meso_Lgla_5_M_T3_Lscabra_CgoreauiDavies"	6040885	646343	10175	1028867	18185296	5183
